AnimalId,DOB,Sex,BehaviorMom,Sire,Dam
003,1/1/1954,f,?,,
004,1/1/1955,f,?,,
005,1/1/1955,m,?,,
006,1/1/1955,m,?,,
007,1/1/1955,f,?,,
008,1/1/1955,m,?,,
009,1/1/1955,m,?,,
00A,2/16/1992,m,971,H86,971
00B,1/12/1993,f,E65,H87,E65
00C,12/25/1993,m,O54,O81,O54
00D,1/20/1995,m,S54,I78,S54
00E,2/23/1995,m,V61,K85,
00F,2/20/1996,f,R64,O81,R64
00G,12/30/1996,m,57A,E94,57A
00H,2/13/1997,m,I56,I48,I56
00I,1/16/1998,m,T98,Z76,
00J,4/13/1998,f,I88,S94,I88
00K,12/15/1998,m,T98,90A,T98
00L,2/1/1999,m,S37,08A,S37
00N,1/20/2000,f,93D,52B,93D
00O,12/1/1999,f,90D,56C,90D
00P,12/20/2000,f,62H,20B,62H
00R,3/15/2002,f,13B,12E,13B
00S,11/7/2001,m,36D,17A,36D
00T,12/12/2002,f,30D,25I,30D
00V,12/14/2003,f,30J,51A,30J
00Z,11/5/2003,m,X37,37C,X37
010,1/1/1955,f,?,,
011,1/1/1951,f,?,,
012,1/1/1951,f,?,,
013,1/1/1955,m,?,,
014,1/1/1955,m,119,,
015,1/1/1955,f,?,,
016,1/1/1955,m,?,,
017,1/1/1953,m,?,,
018,1/1/1956,f,?,,
019,1/1/1955,m,?,,
01A,3/6/1992,m,B10,,
01B,6/15/1993,f,I65,A85,I65
01C,12/24/1993,m,S97,D78,S97
01D,2/28/1995,m,D82,L35,D82
01E,12/26/1994,m,X91,K85,X91
01F,3/25/1996,m,I70,K32,I70
01G,1/15/1997,m,V37,K32,V37
01H,1/6/1997,f,X60,S78,X60
01I,2/19/1998,m,13C,L43,13C
01J,1/11/1998,f,O56,X94,O56
01K,1/28/1999,m,845,S81,845
01L,3/4/1999,m,K79,,K79
01N,3/5/2000,f,V65,51A,V65
01O,12/7/1999,f,J85,51A,J85
01P,3/20/2001,f,21C,79B,21C
01R,11/6/2001,f,X67,X80,X67
01S,11/24/2001,m,40A,,40A
01T,11/20/2002,f,V60,S47,V60
01V,12/20/2003,m,J41,51A,J41
01Z,10/25/2003,m,54N,K32,54N
020,1/1/1951,f,?,,
021,1/1/1955,f,?,,
022,1/1/1954,f,?,,
023,1/1/1956,f,?,,
024,1/1/1955,f,?,,
025,1/1/1955,m,?,,
026,1/1/1953,m,?,,
027,1/1/1955,m,?,,
028,1/1/1955,f,?,,
029,1/1/1955,f,?,,
02A,1/10/1992,f,G68,E05,G68
02B,2/28/1993,m,J92,,
02C,1/17/1994,m,D92,N60,D92
02D,12/1/1994,m,D98,717,D98
02E,12/10/1994,m,N41,K82,N41
02F,2/28/1996,m,I88,O81,I88
02G,2/3/1997,f,65A,L43,65A
02H,12/29/1996,m,28A,I78,28A
02I,12/14/1997,m,O52,S18,O52
02J,4/22/1998,m,78A,X94,78A
02K,2/11/1999,f,X67,L07,X67
02L,1/27/1999,m,V91,E05,V91
02N,12/17/1999,m,Z15,A87,Z15
02O,3/2/2000,m,59F,F00,59F
02P,1/21/2001,m,J92,V79,J92
02R,11/14/2001,m,15E,T53,15E
02S,1/24/2002,m,O35,V83,O35
02T,1/1/2003,f,N40,Z71,N40
02V,12/17/2003,f,64A,65F,64A
02Z,12/7/2003,m,R75,S76,R75
030,1/1/1955,f,?,,
031,1/1/1955,f,?,,
032,1/1/1955,m,?,,
033,1/1/1953,f,?,,
034,1/1/1951,f,?,,
035,1/1/1955,f,?,,
036,1/1/1955,m,?,,
037,1/1/1955,f,?,,
038,1/1/1954,f,?,,
039,1/1/1955,m,?,,
03A,2/5/1992,m,B56,,
