animalid,dob,sex,behaviormom,sire,dam,iop_re_first,iop_le_first
00V,12/14/2003,f,30J,51A,30J,29,32
04T,11/4/2002,m,96G,80B,96G,18,21
0A9,12/29/2004,f,29B,08N,29B,29,27
0B4,12/5/2004,f,67C,13I,67C,18,19
0G5,10/5/2007,f,43F,75H,43F,14,15
0G9,11/9/2008,m,98J,60L,98J,20,18
0I5,10/8/2008,f,90D,36S,90D,26,24
0I6,1/5/2009,f,92D,36S,92D,23,25
0J4,9/16/2009,m,16Z,50T,16Z,20,21
0L1,9/28/2010,m,89K,17K,89K,20,20
0M1,9/20/2010,m,13H,12E,13H,19,19
0M4,10/10/2010,f,14E,72O,14E,17,17
0P0,9/10/2012,m,6A4,3A6,6A4,19,18
0P8,9/13/2012,m,4F5,02R,4F5,19,19
0S4,9/2/2013,m,1I5,5E6,1I5,25,25
0T5,9/7/2014,f,43F,07D,43F,15,15
12Z,12/3/2003,m,G43,40C,G43,17,15
17K,11/20/1998,m,Z15,T16,Z15,21,21
18Z,2/15/2004,m,T98,51A,,19,21
1A3,11/26/2004,f,34N,86D,34N,19,20
1B1,11/7/2004,m,36O,78B,36O,16,15
1F2,11/18/2007,m,81I,26P,81I,18,17
1G0,10/18/2008,f,25N,41N,25N,21,20
1G1,11/3/2008,f,48S,61B,48S,16,15
1I6,11/9/2009,f,51Z,60L,51Z,16,17
1I7,9/12/2009,f,13H,12E,13H,14,11
1J0,11/30/2009,m,7A6,11Z,7A6,16,15
1J3,9/26/2009,m,99N,94O,99N,27,23
1R7,7/22/2013,m,6D9,6B8,6D9,27,24
1S9,9/6/2013,f,50I,0B8,50I,17,20
28I,12/18/1997,f,K84,K85,K84,16,16
2A2,11/28/2004,f,14L,65F,14L,17,18
2A5,1/1/2005,f,42O,78B,42O,13,14
2C9,10/25/2005,m,38E,80B,38E,18,19
2E4,10/1/2006,f,29J,54F,29J,18,16
2H6,10/17/2008,m,68C,43R,68C,19,19
2I2,10/18/2009,m,T03,51A,T03,22,22
2J2,9/7/2009,f,29B,49L,29B,21,18
2J8,9/18/2009,f,79C,25L,79C,11,13
2J9,12/3/2009,m,87F,44T,87F,27,27
2L5,9/19/2010,f,29Z,25R,29Z,23,20
2N0,8/18/2011,m,79Z,43P,79Z,11,11
2N8,9/28/2011,m,73B,04T,73B,16,17
2N9,8/16/2011,m,98V,36V,98V,21,23
30Z,10/16/2003,m,V65,85B,V65,24,25
33T,12/7/2002,m,89K,80B,89K,24,25
33V,1/7/2004,f,50K,31I,50K,20,20
34Z,2/27/2004,f,28G,65F,28G,20,20
36Z,1/12/2004,f,00J,79H,00J,17,18
37N,2/6/2000,m,24B,F46,24B,15,14
3J8,11/8/2009,m,X60,19T,X60,23,22
3L1,10/2/2010,m,92D,33T,92D,24,24
3L2,10/1/2010,m,21H,27N,21H,17,21
3M2,8/11/2011,m,24V,44T,24V,25,26
3S3,10/1/2013,f,68V,6B2,68V,19,22
43J,1/12/1998,f,H74,O23,H74,22,24
43V,12/18/2003,m,X20,40C,X20,16,15
44T,12/29/2002,m,95A,88C,95A,19,20
4C2,10/7/2005,f,00J,15N,00J,21,22
4C3,12/23/2005,m,K04,07D,K04,25,25
4C5,12/14/2005,f,T03,51A,T03,20,20
